profile,D_over_C,alpha_integrated,zeta_omega_Lw_over_C,P_C_reflect,P_D_reflect_left,P_C_transmit,P_D_transmit_forward,P_D_total,two_wall_forward_echo,delta_wall_forward_P,forward_over_delta,born_forward_over_delta,born_backward_over_delta,flux_sum,flux_error
square,2.000000000e+00,1.000000000e+00,3.000000000e+01,1.901367069e-05,4.164144167e-04,9.834564412e-01,1.610813075e-02,1.652454516e-02,2.594718762e-04,2.500000000e-01,6.443252299e-02,1.564167034e-02,4.688177888e-04,1.000000000e+00,4.440892099e-16
sech2,1.000000000e+00,1.000000000e-02,1.000000000e-03,9.997968412e-09,9.997962911e-05,9.998000304e-01,9.997995808e-05,1.999595872e-04,9.995992018e-09,9.998000300e-05,9.999995507e-01,1.000000000e+00,9.999967101e-01,1.000000000e+00,3.730349363e-14
sech2,1.000000000e+00,1.000000000e-02,1.000000000e-02,9.995702712e-09,9.994707468e-05,9.998000630e-01,9.997996530e-05,1.999270400e-04,9.995993460e-09,9.998000300e-05,9.999996229e-01,1.000000000e+00,9.996710781e-01,1.000000000e+00,4.740652315e-14
sech2,1.000000000e+00,1.000000000e-02,1.000000000e-01,9.772264099e-09,9.675487297e-05,9.998032547e-01,9.998067095e-05,1.967355439e-04,9.996134564e-09,9.998000300e-05,1.000006681e+00,1.000000000e+00,9.677406780e-01,1.000000000e+00,3.552713679e-15
sech2,1.000000000e+00,1.000000000e-02,3.000000000e-01,8.172775419e-09,7.497802489e-05,9.998250284e-01,9.998538535e-05,1.749634102e-04,9.997077283e-09,9.998000300e-05,1.000053834e+00,1.000000000e+00,7.499228056e-01,1.000000000e+00,2.775557562e-14
sech2,1.000000000e+00,1.000000000e-02,1.000000000e+00,1.479716325e-09,7.397961782e-06,9.998926031e-01,9.999744564e-05,1.073954074e-04,9.999489134e-09,9.998000300e-05,1.000174461e+00,1.000000000e+00,7.399980675e-02,1.000000000e+00,1.443289932e-14
sech2,1.000000000e+00,1.000000000e-02,3.000000000e+00,2.310828978e-13,2.310097504e-10,9.999000030e-01,9.999678419e-05,9.999701520e-05,9.999356849e-09,9.998000300e-05,1.000167846e+00,1.000000000e+00,2.313897563e-06,1.000000000e+00,2.775557562e-14
sech2,1.000000000e+00,1.000000000e-02,1.000000000e+01,5.020168591e-24,4.972736921e-21,9.999000034e-01,9.999663513e-05,9.999663513e-05,9.999327037e-09,9.998000300e-05,1.000166355e+00,1.000000000e+00,2.036257326e-24,1.000000000e+00,9.103828802e-15
sech2,1.000000000e+00,1.000000000e-02,3.000000000e+01,5.585885908e-25,2.306164256e-21,9.999000034e-01,9.999662318e-05,9.999662318e-05,9.999324648e-09,9.998000300e-05,1.000166235e+00,1.000000000e+00,4.875520823e-78,1.000000000e+00,3.996802889e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e-03,9.802929887e-05,9.802924300e-03,9.802960895e-01,9.802956874e-03,1.960588117e-02,9.609796348e-05,9.802960494e-03,9.999996307e-01,1.000000000e+00,9.999967101e-01,1.000000000e+00,3.075317778e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e-02,9.800765055e-05,9.799769822e-03,9.802991959e-01,9.803026653e-03,1.960279648e-02,9.609933157e-05,9.802960494e-03,1.000006749e+00,1.000000000e+00,9.996710781e-01,1.000000000e+00,3.519406988e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e-01,9.587117009e-05,9.490346215e-03,9.806039262e-01,9.809856463e-03,1.930020268e-02,9.623328382e-05,9.802960494e-03,1.000703458e+00,1.000000000e+00,9.677406780e-01,1.000000000e+00,2.220446049e-15
sech2,1.000000000e+00,1.000000000e-01,3.000000000e-01,8.048945554e-05,7.373934928e-03,9.826899065e-01,9.855669113e-03,1.722960404e-02,9.713421367e-05,9.802960494e-03,1.005376806e+00,1.000000000e+00,7.499228056e-01,1.000000000e+00,1.643130076e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e+00,1.475058611e-05,7.371585402e-04,9.892733925e-01,9.974698379e-03,1.071185692e-02,9.949460776e-05,9.802960494e-03,1.017518982e+00,1.000000000e+00,7.399980675e-02,1.000000000e+00,5.218048216e-15
sech2,1.000000000e+00,1.000000000e-01,3.000000000e+00,2.328433748e-09,2.436737263e-08,9.900316516e-01,9.968321656e-03,9.968346023e-03,9.936743664e-05,9.802960494e-03,1.016868492e+00,1.000000000e+00,2.313897563e-06,1.000000000e+00,2.176037128e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e+01,4.955378235e-20,4.885156029e-19,9.900331600e-01,9.966840015e-03,9.966840015e-03,9.933789989e-05,9.802960494e-03,1.016717350e+00,1.000000000e+00,2.036257326e-24,1.000000000e+00,1.065814104e-14
sech2,1.000000000e+00,1.000000000e-01,3.000000000e+01,5.547417456e-21,2.261500186e-19,9.900332787e-01,9.966721336e-03,9.966721336e-03,9.933553418e-05,9.802960494e-03,1.016705243e+00,1.000000000e+00,4.875520823e-78,1.000000000e+00,2.842170943e-14
sech2,1.000000000e+00,1.000000000e+00,1.000000000e-03,2.499998150e-01,2.499991775e-01,2.500001850e-01,2.500008225e-01,5.000000000e-01,6.250041126e-02,2.500000000e-01,1.000003290e+00,1.000000000e+00,9.999967101e-01,1.000000000e+00,1.176836406e-14
sech2,1.000000000e+00,1.000000000e+00,1.000000000e-02,2.499926333e-01,2.499177674e-01,2.500073533e-01,2.500822460e-01,5.000000134e-01,6.254112977e-02,2.500000000e-01,1.000328984e+00,1.000000000e+00,9.996710781e-01,1.000000000e+00,1.598721155e-14
sech2,1.000000000e+00,1.000000000e+00,1.000000000e-01,2.492081357e-01,2.419576164e-01,2.506601213e-01,2.581741266e-01,5.001317430e-01,6.665387964e-02,2.500000000e-01,1.032696506e+00,1.000000000e+00,9.677406780e-01,1.000000000e+00,1.332267630e-15
sech2,1.000000000e+00,1.000000000e+00,3.000000000e-01,2.389152523e-01,1.896976239e-01,2.520014947e-01,3.193856291e-01,5.090832530e-01,1.020071800e-01,2.500000000e-01,1.277542516e+00,1.000000000e+00,7.499228056e-01,1.000000000e+00,5.551115123e-15
sech2,1.000000000e+00,1.000000000e+00,1.000000000e+00,8.868184769e-02,6.642508033e-02,2.136242573e-01,6.312688147e-01,6.976938950e-01,3.985003164e-01,2.500000000e-01,2.525075259e+00,1.000000000e+00,7.399980675e-02,1.000000000e+00,5.551115123e-15
sech2,1.000000000e+00,1.000000000e+00,3.000000000e+00,5.406942427e-05,5.490788805e-05,2.841202726e-01,7.157707501e-01,7.158256580e-01,5.123277667e-01,2.500000000e-01,2.863083000e+00,1.000000000e+00,2.313897563e-06,1.000000000e+00,9.769962617e-15
sech2,1.000000000e+00,1.000000000e+00,1.000000000e+01,1.068931477e-16,2.347229739e-16,2.913143123e-01,7.086856877e-01,7.086856877e-01,5.022354039e-01,2.500000000e-01,2.834742751e+00,1.000000000e+00,2.036257326e-24,1.000000000e+00,1.176836406e-14
sech2,1.000000000e+00,1.000000000e+00,3.000000000e+01,1.161924647e-17,1.846175279e-17,2.918593564e-01,7.081406436e-01,7.081406436e-01,5.014631711e-01,2.500000000e-01,2.832562574e+00,1.000000000e+00,4.875520823e-78,1.000000000e+00,1.110223025e-14
sech2,1.200000000e+00,1.000000000e-02,1.000000000e-03,9.997970381e-09,9.997968164e-05,9.998000304e-01,9.997995579e-05,1.999596374e-04,9.995991559e-09,9.998000300e-05,9.999995278e-01,9.999999772e-01,9.999972356e-01,1.000000000e+00,3.663735981e-14
sech2,1.200000000e+00,1.000000000e-02,1.000000000e-02,9.995899586e-09,9.995232603e-05,9.998000579e-01,9.997973570e-05,1.999320617e-04,9.995947550e-09,9.998000300e-05,9.999973264e-01,9.999977154e-01,9.997236055e-01,1.000000000e+00,4.640732243e-14
sech2,1.200000000e+00,1.000000000e-02,1.000000000e-01,9.791383662e-09,9.726152845e-05,9.998027710e-01,9.995771877e-05,1.972192472e-04,9.991545541e-09,9.998000300e-05,9.997771131e-01,9.997715682e-01,9.728085181e-01,1.000000000e+00,1.332267630e-15
sech2,1.200000000e+00,1.000000000e-02,3.000000000e-01,8.309427194e-09,7.842127049e-05,9.998217911e-01,9.977930707e-05,1.782005776e-04,9.955910119e-09,9.998000300e-05,9.979926393e-01,9.979463666e-01,7.843623609e-01,1.000000000e+00,2.309263891e-14
sech2,1.200000000e+00,1.000000000e-02,1.000000000e+00,1.660695465e-09,1.052108145e-05,9.998917338e-01,9.774343855e-05,1.082645200e-04,9.553779780e-09,9.998000300e-05,9.776298822e-01,9.774634911e-01,1.052369963e-01,1.000000000e+00,1.221245327e-14
sech2,1.200000000e+00,1.000000000e-02,3.000000000e+00,3.130746925e-13,9.339808749e-10,9.999182563e-01,8.174273217e-05,8.174366615e-05,6.681874263e-09,9.998000300e-05,8.175908154e-01,8.174649769e-01,9.353091983e-06,1.000000000e+00,3.241851232e-14
sech2,1.200000000e+00,1.000000000e-02,1.000000000e+01,8.813880838e-25,4.721406671e-20,9.999852552e-01,1.474475928e-05,1.474475928e-05,2.174079261e-10,9.998000300e-05,1.474770838e-01,1.474589885e-01,3.215260224e-22,1.000000000e+00,5.995204333e-15
sech2,1.200000000e+00,1.000000000e-02,3.000000000e+01,2.436328203e-29,1.345850086e-22,9.999999963e-01,3.716912295e-09,3.716912295e-09,1.381543701e-17,9.998000300e-05,3.717655715e-05,3.718417204e-05,2.718477001e-71,1.000000000e+00,3.796962744e-14
sech2,1.200000000e+00,1.000000000e-01,1.000000000e-03,9.802931727e-05,9.802929392e-03,9.802960848e-01,9.802956537e-03,1.960588593e-02,9.609795687e-05,9.802960494e-03,9.999995964e-01,9.999999772e-01,9.999972356e-01,1.000000000e+00,3.341771304e-14
sech2,1.200000000e+00,1.000000000e-01,1.000000000e-02,9.800948987e-05,9.800278845e-03,9.802987187e-01,9.802992951e-03,1.960327180e-02,9.609867080e-05,9.802960494e-03,1.000003311e+00,9.999977154e-01,9.997236055e-01,1.000000000e+00,3.808064974e-14
sech2,1.200000000e+00,1.000000000e-01,1.000000000e-01,9.605013216e-05,9.539487339e-03,9.805579338e-01,9.806528699e-03,1.934601604e-02,9.616800513e-05,9.802960494e-03,1.000363993e+00,9.997715682e-01,9.728085181e-01,1.000000000e+00,1.887379142e-15
sech2,1.200000000e+00,1.000000000e-01,3.000000000e-01,8.178514998e-05,7.709336673e-03,9.823806061e-01,9.828272086e-03,1.753760876e-02,9.659493219e-05,9.802960494e-03,1.002582035e+00,9.979463666e-01,7.843623609e-01,1.000000000e+00,1.865174681e-14
sech2,1.200000000e+00,1.000000000e-01,1.000000000e+00,1.653823883e-05,1.046859798e-03,9.891896433e-01,9.746958674e-03,1.079381847e-02,9.500320340e-05,9.802960494e-03,9.942872544e-01,9.774634911e-01,1.052369963e-01,1.000000000e+00,9.880984919e-15
sech2,1.200000000e+00,1.000000000e-01,3.000000000e+00,3.136251887e-09,9.707034766e-08,9.918510654e-01,8.148834408e-03,8.148931478e-03,6.640350220e-05,9.802960494e-03,8.312625979e-01,8.174649769e-01,9.353091983e-06,1.000000000e+00,2.309263891e-14
sech2,1.200000000e+00,1.000000000e-01,1.000000000e+01,8.768301820e-21,4.710285183e-18,9.985307767e-01,1.469223281e-03,1.469223281e-03,2.158617050e-06,9.802960494e-03,1.498754669e-01,1.474589885e-01,3.215260224e-22,1.000000000e+00,1.221245327e-14
sech2,1.200000000e+00,1.000000000e-01,3.000000000e+01,2.464125924e-25,1.344722004e-20,9.999996305e-01,3.694816260e-07,3.694816260e-07,1.365166719e-13,9.802960494e-03,3.769082067e-05,3.718417204e-05,2.718477001e-71,1.000000000e+00,2.553512957e-14
sech2,1.200000000e+00,1.000000000e+00,1.000000000e-03,2.499997849e-01,2.499993128e-01,2.500002186e-01,2.500006837e-01,4.999999965e-01,6.250034184e-02,2.500000000e-01,1.000002735e+00,9.999999772e-01,9.999972356e-01,1.000000000e+00,1.287858709e-14
sech2,1.200000000e+00,1.000000000e+00,1.000000000e-02,2.499896259e-01,2.499312968e-01,2.500107121e-01,2.500683652e-01,4.999996620e-01,6.253418729e-02,2.500000000e-01,1.000273461e+00,9.999977154e-01,9.997236055e-01,1.000000000e+00,1.376676551e-14
sech2,1.200000000e+00,1.000000000e+00,1.000000000e-01,2.489267276e-01,2.432567397e-01,2.510167318e-01,2.567998009e-01,5.000565406e-01,6.594613774e-02,2.500000000e-01,1.027199204e+00,9.997715682e-01,9.728085181e-01,1.000000000e+00,1.998401444e-15
sech2,1.200000000e+00,1.000000000e+00,3.000000000e-01,2.374960702e-01,1.979205383e-01,2.563664324e-01,3.082169591e-01,5.061374974e-01,9.499769386e-02,2.500000000e-01,1.232867836e+00,9.979463666e-01,7.843623609e-01,1.000000000e+00,7.105427358e-15
sech2,1.200000000e+00,1.000000000e+00,1.000000000e+00,8.787264943e-02,7.445926108e-02,2.460518409e-01,5.916162486e-01,6.660755097e-01,3.500097856e-01,2.500000000e-01,2.366464994e+00,9.774634911e-01,1.052369963e-01,1.000000000e+00,9.992007222e-15
sech2,1.200000000e+00,1.000000000e+00,3.000000000e+00,5.319000814e-05,1.436409826e-04,4.141419075e-01,5.856612615e-01,5.858049025e-01,3.429991132e-01,2.500000000e-01,2.342645046e+00,8.174649769e-01,9.353091983e-06,1.000000000e+00,7.327471963e-15
sech2,1.200000000e+00,1.000000000e+00,1.000000000e+01,5.505799643e-17,4.103315247e-16,8.987615251e-01,1.012384749e-01,1.012384749e-01,1.024922880e-02,2.500000000e-01,4.049538995e-01,1.474589885e-01,3.215260224e-22,1.000000000e+00,1.310063169e-14
sech2,1.200000000e+00,1.000000000e+00,3.000000000e+01,1.282096428e-21,1.234270134e-18,9.999808325e-01,1.916746033e-05,1.916746033e-05,3.673915355e-10,2.500000000e-01,7.666984132e-05,3.718417204e-05,2.718477001e-71,1.000000000e+00,1.598721155e-14
sech2,2.000000000e+00,1.000000000e-02,1.000000000e-03,9.997973245e-09,9.997977301e-05,9.998000303e-01,9.997993749e-05,1.999597105e-04,9.995987901e-09,9.998000300e-05,9.999993448e-01,9.999997944e-01,9.999981495e-01,1.000000000e+00,3.996802889e-14
sech2,2.000000000e+00,1.000000000e-02,1.000000000e-02,9.996185933e-09,9.996145970e-05,9.998000506e-01,9.997790623e-05,1.999393659e-04,9.995581733e-09,9.998000300e-05,9.999790281e-01,9.999794386e-01,9.998149655e-01,1.000000000e+00,4.851674618e-14
sech2,2.000000000e+00,1.000000000e-02,1.000000000e-01,9.819283254e-09,9.815027640e-05,9.998020649e-01,9.977502475e-05,1.979253012e-04,9.955055565e-09,9.998000300e-05,9.979498076e-01,9.979463666e-01,9.816981674e-01,1.000000000e+00,2.220446049e-15
sech2,2.000000000e+00,1.000000000e-02,3.000000000e-01,8.513727973e-09,8.486978155e-05,9.998169684e-01,9.815325922e-05,1.830230408e-04,9.634062295e-09,9.998000300e-05,9.817289085e-01,9.816981674e-01,8.488604075e-01,1.000000000e+00,2.442490654e-14
sech2,2.000000000e+00,1.000000000e-02,1.000000000e+00,1.969831855e-09,2.030790956e-05,9.998979482e-01,8.174194520e-05,1.020498548e-04,6.681745606e-09,9.998000300e-05,8.175829441e-01,8.174649769e-01,2.031214457e-01,1.000000000e+00,1.232347557e-14
sech2,2.000000000e+00,1.000000000e-02,3.000000000e+00,4.453099614e-13,1.447209530e-08,9.999796767e-01,2.030881297e-05,2.032328507e-05,4.124478844e-10,9.998000300e-05,2.031287494e-01,2.031214457e-01,1.448877974e-04,1.000000000e+00,3.264055692e-14
sech2,2.000000000e+00,1.000000000e-02,1.000000000e+01,4.075055945e-28,2.783017488e-20,9.999999963e-01,3.716928037e-09,3.716928037e-09,1.381555403e-17,9.998000300e-05,3.717671460e-05,3.718417204e-05,7.600408866e-18,1.000000000e+00,1.110223025e-14
sech2,2.000000000e+00,1.000000000e-02,3.000000000e+01,2.095424197e-30,9.400448539e-21,1.000000000e+00,2.782848358e-20,3.722893212e-20,7.744244982e-40,9.998000300e-05,2.783404955e-16,7.600408866e-18,8.012883897e-58,1.000000000e+00,4.218847494e-14
sech2,2.000000000e+00,1.000000000e-01,1.000000000e-03,9.802934379e-05,9.802938258e-03,9.802960779e-01,9.802954546e-03,1.960589280e-02,9.609791782e-05,9.802960494e-03,9.999993932e-01,9.999997944e-01,9.999981495e-01,1.000000000e+00,3.397282455e-14
sech2,2.000000000e+00,1.000000000e-01,1.000000000e-02,9.801214159e-05,9.801165274e-03,9.802980288e-01,9.802793808e-03,1.960395908e-02,9.609476644e-05,9.802960494e-03,9.999829963e-01,9.999794386e-01,9.998149655e-01,1.000000000e+00,3.752553823e-14
sech2,2.000000000e+00,1.000000000e-01,1.000000000e-01,9.630891820e-05,9.625781691e-03,9.804912188e-01,9.786690592e-03,1.941247228e-02,9.577931275e-05,9.802960494e-03,9.983403073e-01,9.979463666e-01,9.816981674e-01,1.000000000e+00,4.884981308e-15
sech2,2.000000000e+00,1.000000000e-01,3.000000000e-01,8.370237019e-05,8.337606721e-03,9.819239638e-01,9.654727146e-03,1.799233387e-02,9.321375626e-05,9.802960494e-03,9.848787161e-01,9.816981674e-01,8.488604075e-01,1.000000000e+00,1.731947918e-14
sech2,2.000000000e+00,1.000000000e-01,1.000000000e+00,1.957983024e-05,2.015848063e-03,9.898238271e-01,8.140744985e-03,1.015659305e-02,6.627172891e-05,9.802960494e-03,8.304373959e-01,8.174649769e-01,2.031214457e-01,1.000000000e+00,9.103828802e-15
sech2,2.000000000e+00,1.000000000e-01,3.000000000e+00,4.419023327e-09,1.456157296e-06,9.979736658e-01,2.024873611e-03,2.026329768e-03,4.100113139e-06,9.802960494e-03,2.065573570e-01,2.031214457e-01,1.448877974e-04,1.000000000e+00,2.686739720e-14
sech2,2.000000000e+00,1.000000000e-01,1.000000000e+01,3.222488078e-24,2.790350686e-18,9.999996304e-01,3.696383510e-07,3.696383510e-07,1.366325105e-13,9.802960494e-03,3.770680819e-05,3.718417204e-05,7.600408866e-18,1.000000000e+00,9.547918012e-15
sech2,2.000000000e+00,1.000000000e-01,3.000000000e+01,4.156387082e-30,9.400792697e-19,1.000000000e+00,2.773227106e-18,3.713306376e-18,7.690788583e-36,9.802960494e-03,2.828968971e-16,7.600408866e-18,8.012883897e-58,1.000000000e+00,3.641531521e-14
sech2,2.000000000e+00,1.000000000e+00,1.000000000e-03,2.499997217e-01,2.499995731e-01,2.500003095e-01,2.500003956e-01,4.999999687e-01,6.250019781e-02,2.500000000e-01,1.000001583e+00,9.999997944e-01,9.999981495e-01,1.000000000e+00,1.354472090e-14
sech2,2.000000000e+00,1.000000000e+00,1.000000000e-02,2.499833084e-01,2.499573172e-01,2.500198137e-01,2.500395607e-01,4.999968779e-01,6.251978189e-02,2.500000000e-01,1.000158243e+00,9.999794386e-01,9.998149655e-01,1.000000000e+00,1.620925616e-14
sech2,2.000000000e+00,1.000000000e+00,1.000000000e-01,2.483258746e-01,2.457840986e-01,2.519561381e-01,2.539338887e-01,4.997179873e-01,6.448241984e-02,2.500000000e-01,1.015735555e+00,9.979463666e-01,9.816981674e-01,1.000000000e+00,1.887379142e-15
sech2,2.000000000e+00,1.000000000e+00,3.000000000e-01,2.339729928e-01,2.156674011e-01,2.666264732e-01,2.837331329e-01,4.994005340e-01,8.050449072e-02,2.500000000e-01,1.134932532e+00,9.816981674e-01,8.488604075e-01,1.000000000e+00,6.661338148e-15
sech2,2.000000000e+00,1.000000000e+00,1.000000000e+00,8.731449881e-02,9.134841738e-02,3.757953850e-01,4.455416989e-01,5.368901162e-01,1.985074054e-01,2.500000000e-01,1.782166795e+00,8.174649769e-01,2.031214457e-01,1.000000000e+00,1.176836406e-14
sech2,2.000000000e+00,1.000000000e+00,3.000000000e+00,2.587009463e-05,4.615895662e-04,8.530707425e-01,1.464417978e-01,1.469033874e-01,2.144520015e-02,2.500000000e-01,5.857671913e-01,2.031214457e-01,1.448877974e-04,1.000000000e+00,1.332267630e-14
sech2,2.000000000e+00,1.000000000e+00,1.000000000e+01,3.427597704e-20,1.067932835e-15,9.999798524e-01,2.014758117e-05,2.014758117e-05,4.059250269e-10,2.500000000e-01,8.059032467e-05,3.718417204e-05,7.600408866e-18,1.000000000e+00,1.088018564e-14
sech2,2.000000000e+00,1.000000000e+00,3.000000000e+01,9.673023224e-30,9.434744418e-17,1.000000000e+00,2.024912937e-16,2.968387378e-16,4.100272401e-32,2.500000000e-01,8.099651746e-16,7.600408866e-18,8.012883897e-58,1.000000000e+00,1.620925616e-14
